disease,symptoms
laryngeal papillomatosis,"hoarseness, dry cough, low-pitched voice, shortness of breath when talking, voice loss at the end of the day"
radiation retinopathy,"decreased vision, difficulty distinguishing colors, eye pain, night blindness"
anterior cruciate ligament (acl) injury,"pain, a popping sensation at the time of injury, tenderness along the joint line, discomfort while resting"
congenital pulmonary arteriovenous fistula,"cyanosis, migraines, tinnitus, lethargy"
acute hypoglycemia,"palpitations, coma, seizures, irritability"
appendiceal carcinoid,"nausea and vomiting, mild abdominal cramping, decreased appetite, slight weight loss"
facial nerve injury,"numbness on the affected side, incomplete eyelid closure, decreased tear production, slight hearing enhancement, tinnitus"
lumbar disc herniation,"lower back pain, muscle weakness, difficulty standing for long periods, pain worsening at night"
early pregnancy,"nausea, mild headache, mood swings, breast tenderness"
ainhum,"distal phalanx clubbing, annular constricting bands on toes, ulcers, fissures of hands and feet, severe pain around constricted areas, bleeding from fissures, nail deformities"
oral thrush,"oral mucosal white patches, oral pain, pharyngitis, glossitis"
blood deficiency of the heart,"tinnitus, deafness, easy fright, irritability, pale tongue"
intestinal bypass arthritis-dermatitis syndrome,"joint pain, mild fever, fatigue, weight loss"
rickets,"excessive sweating, night terrors, child, bow legs, bony projections along ribs, swelling of wrists and ankles"
glaucoma induced by vitrectomy and retinal detachment surgery,"acute increase in intraocular pressure, pain in the eye, nausea, vomiting, blurred vision, headache, eye redness"
ossicular chain injury,"hearing deficit, tinnitus, dizziness, fullness in the ear"
antepartum hemorrhage,"vaginal bleeding, abdominal pain, abnormal fetal movements, blurred vision, swelling in the face and hands, sudden weight gain, feeling faint"
coal workers' pneumoconiosis (cwp),"shortness of breath, chest tightness, cough, orthopnea"
immunodeficiency pneumonia,"eczema, telangiectasia, photophobia, facial deformity, vascular edema, nystagmus, thrombocytopenia"
erythrodermic psoriasis,"fatigue, chills, loss of appetite, joint discomfort, slight lymphadenopathy"
mediastinal teratoma,"mediastinal cysts, cough, varicose veins, tracheal gap masses"
intraventricular conduction block,"abnormal heart sounds, prolonged qrs duration, lightheadedness, exercise intolerance"
post-traumatic hydrocephalus,"increased intracranial pressure, unstable gait, sensory disturbances, ataxia"
neonatal pneumonia,"rapid breathing, cyanosis, newborn, poor feeding, temperature instability"
radial neck fracture,"history of trauma, limited range of motion, arm appears shorter, numbness in the affected arm, visible bruising"
orbital tumor,"decreased vision, headache, eye redness, photo-sensitivity"
diphtheria,"throat pain, low fever, mild swelling of the neck, fatigue"
pediatric restrictive cardiomyopathy,"jugular vein distension, hepatomegaly, ascites, cyanosis, child, dyspnea, chest pain, splenomegaly"
purulent tenosynovitis,"chills, fever, increased pain with movement, swelling in the affected limb, general feeling of being unwell"
brainstem injury,"coma after head injury, increased muscle tone, irregular pupil dilation, change in blood pressure"
orbital ossifying fibroma,"epiphora, occasional pain around the eye, headache, diplopia (double vision)"
postpartum emergencies,"diarrhea, female, dehydration, lightheadedness, fever"
pi-man syndrome,"irregular bowel movements, dehydration, weight loss, abdominal discomfort"
post-transfusion hepatitis,"vomiting, general fatigue, headache, bruising easily"
peritonitis,"abdominal distension, vomiting, shock, rebound pain"
hypovolemic shock,"pale complexion, cold sweats, decrease in blood pressure, oliguria"
hypertension in the elderly,"dizziness, elderly, nausea, vomiting, tinnitus"
thoracic trauma,"swelling, pain, friction rubs, fracture, cyanosis, rapid shallow breathing, tachycardia, hypotension"
dust mite allergy asthma,"itchy nose, sneezing, runny nose, coughing"
chronic atrophic gastritis,"burping, nausea, indigestion, abdominal distension"
alzheimer's disease,"memory impairment, emotional disturbances, dementia, elderly, loss of motivation, repeating questions, trouble handling money and paying bills, wandering and getting lost"
hereditary neurological disorders,"psychobehavioral abnormalities, mild limb numbness, occasional headaches, fatigue"
pregnancy with atrial septal defect,"shortness of breath, female, dizziness, reduced ability to exercise, increased heart rate"
intervertebral disc calcification,"neck pain, fatigue, spinous process tenderness, calcification"
antisocial personality disorder,"lack of shame, aggressiveness, recurrent lying, manipulativeness, lack of empathy"
hypothyroidism-associated mental disorders,"myxedematous facies, depression, slow thinking, unstable gait, abnormal short stature, tremors"
open head injury,"disturbances of consciousness, headache, nausea, sensitivity to light"
behcet's disease,"oral ulcers, uveitis, fatigue, erythema nodosum"
pulmonary failure,"wheezing with shoulder elevation, cyanosis of lips, anxiety, difficulty sleeping"
bronchial asthma,"chest tightness, dyspnea, mild fever, sneezing, itchy throat"
traumatic brain injury,"thalamic hemorrhage, pontine hemorrhage, loss of coordination, difficulty swallowing, weakness in one side of the body"
hepatitis b e-antigen positive (hbeag positive),"yellowing of the skin, nausea, vomiting, dark urine"
uveitis,"vision impairment, photophobia, eye redness, pain when moving the eyes, blurry vision"
basophilic leukemia,"fatigue, general malaise, headache, diarrhea"
iron deficiency anemia,"fatigue, low blood pressure, anemia, female, hair loss, swollen tongue, pica, restless legs syndrome"
leprosy of the pharynx,"nodules, peripheral nerve damage, decreased sensation in extremities, muscle weakness, night sweats"
glycogen storage disease,"hypoglycemia, hepatomegaly, coma, seizures, child, abdominal pain, vomiting, excessive sweating"
chronic bronchitis,"chronic cough, expectoration, hypertrophy of the mucus glands, mucopurulent sputum"
cavernous hemangioma,"headache, dizziness, speech difficulties, confusion, fatigue"
macular hole,"vision loss, distorted vision, edema, retinal detachment, seeing floaters, rapid deterioration of vision, appearance of a central dark spot"
subarachnoid hemorrhage,"projectile vomiting, mental disorder, spasm of the neck extensor muscles, motor disorder"
gasoline poisoning,"irritability, unsteady gait, transient loss of consciousness, nausea, vomiting, dizziness"
common cold due to wind-cold,"aversion to cold, sneezing, runny nose, fatigue"
toxic epidermal necrolysis,"drug rash, miliaria-like rash, facial congestion in cherry red, coma"
multiple epiphyseal dysplasia,"hip joint pain, shortening of the hands, child, difficulty climbing stairs, feeling of instability in the hip, mild to moderate pain after physical activity"
aspergillosis,"coughing phlegm, hemoptysis, hemorrhagic necrosis, coughing up brownish sputum plugs"
miliaria,"blisters, local warmth, slight swelling around blisters, tingling sensation before the appearance of blisters"
measles virus pneumonia,"persistent high fever, worsening cough, abdominal pain, myalgia"
chronic superficial gastritis,"abdominal pain, belching, sore throat, bad breath"
menopause and depression,"amenorrhea, low spirits, vaginal dryness, night sweats, loss of libido"
occupational acne,"acneiform eruptions, boils, local skin warmth, focal tenderness, pus discharge from lesions"
cerebrospinal fluid rhinorrhea,"nasal leakage of fluid, headache, sense of taste changes, clear, watery drainage from the nose"
chance fracture,"subcutaneous hematoma with severe local pain, localized tenderness at the injury site, pain during movement or handling, sensory, motor, and sphincter functional impairments, anxiety due to the injury and its implications, difficulty sleeping due to pain, loss of appetite"
neurofibromatosis,"neuralgia, lower back pain, sciatica, numbness in hands and feet, soft bumps on or under the skin (neurofibromas), pain, curvature of the spine (scoliosis)"
erythema,"diffuse hyperemia of the oral mucosa, generalized red patches, pigment abnormalities, swelling in the neck area, fatigue, difficulty in swallowing, slight elevation in temperature"
testicular cancer,"the presence of a painless lump in the testicle, male, a dull ache in the abdomen or groin, tenderness or enlargement of the breasts, fatigue"
organophosphate pesticide poisoning,"drooling, altered mental status, nausea, vomiting"
orchitis,"testicular swelling, fever, nausea, increased urge to urinate"
x-linked ichthyosis,"large and notable scales, newborn/infant, dry skin, eczema, difficulty sweating"
necrotizing sarcoid granulomatosis,"erythema nodosum, joint pain, cough, weight loss"
beckwith-wiedemann syndrome,"birth weight exceeding the normal standards, child, rapid breathing, umbilical hernia, weakness"
human bocavirus infection with intestinal cell changes,"fever, nausea and vomiting, abdominal pain, edema"
pediatric androgen insensitivity syndrome,"cryptorchidism, absence of müllerian ducts, child, normal female external genitalia, breast development"
greater tuberosity fracture of the humerus,"limited mobility, feeling of weakness in the arm, discomfort with overhead activities, slight discoloration around the shoulder"
headache,"nausea and vomiting, blurred vision, sensitivity to sound, fatigue"
lung cancer,"irritative cough, blood in sputum, persistent chest pain, unexplained weight loss, difficulty swallowing"
oral condyloma acuminatum,"cauliflower-like oral rash, sore throat, difficulty swallowing, slight fever"
secondary hyperparathyroidism,"bone pain, skin itching, pathological fractures, joint deformities, muscle atrophy, joint pain, muscle necrosis"
right bundle branch block (rbbb),"intermittent palpitations, shortness of breath during exertion, light-headedness, occasional fainting spells"
subacute necrotizing myelopathy,"distal muscle atrophy of the lower limbs, muscle weakness, cramps, fasciculations"
parasagittal meningioma,"epileptic and epileptiform seizures, visual impairment, intracranial hypertension syndrome, dementia"
vulvar contact dermatitis,"pain, burning sensation, female, local temperature elevation, swelling, changes in skin color"
arterial occlusion or stenosis retinopathy,"sudden transient blackout in one eye, carotid pulse, intermittent visual disturbances, sensitivity to light, eye redness"
cloacal exstrophy,"vulvar pain, eversion of the bladder and intestines, excretion of urine, feces, and gas through the rectum, urethra, and/or vagina, newborn, abdominal wall defect, abnormal genitalia, difficulty in feeding, emotional distress"
